Wavelength (nm);BWL;LWL;SWL;DL
511;10,0901;0,0197681;1,10185;0,00137725
512;10,3179;0,0182672;1,0347;0,00163974
513;10,5376;0,0175811;0,972952;0,00219937
514;10,7336;0,0206023;0,919235;0,00261919
515;10,9079;0,0270072;0,872849;0,0029114
516;11,075;0,0311103;0,824886;0,00326583
517;11,23;0,0313014;0,774244;0,00372601
518;11,3759;0,0318817;0,727968;0,00419624
519;11,49;0,0338236;0,696976;0,00470166
520;11,6023;0,0358305;0,666201;0,00530053
521;11,6943;0,0386031;0,637987;0,007002
522;11,7863;0,0413757;0,609773;0,00870346
523;11,8517;0,0380988;0,598098;0,0101182
524;11,9153;0,0344237;0,587511;0,011514
525;11,9615;0,0430176;0,563819;0,0136609
526;12,0034;0,05463;0,536903;0,0159925
527;12,0398;0,0600338;0,518238;0,0184593
528;12,0735;0,0623947;0,503617;0,0209924
529;12,0978;0,0690005;0,499412;0,0244488
530;12,114;0,0791669;0,503942;0,0286797
531;12,1258;0,0830038;0,499061;0,0325691
532;12,1315;0,0781311;0,481229;0,0359886
533;12,1342;0,0767019;0,470369;0,0395059
534;12,1299;0,0832253;0,475611;0,0432491
535;12,1264;0,0878296;0,475231;0,0470708
536;12,1263;0,0841313;0,450529;0,0512315
537;12,1255;0,0817703;0,428103;0,0554262
538;12,1164;0,0952952;0,432725;0,0600235
539;12,1073;0,10882;0,437347;0,0646209
540;12,0988;0,120046;0,438612;0,0680046
541;12,0902;0,131205;0,439781;0,0713532
542;12,0701;0,128293;0,434535;0,0760183
543;12,0482;0,123286;0,428334;0,0808793
544;12,0214;0,130269;0,431569;0,084304
545;11,9931;0,140766;0,43757;0,0873079
546;11,9675;0,147155;0,437475;0,0909774
547;11,9432;0,151616;0,434518;0,0949594
548;11,918;0,157494;0,427266;0,0985348
549;11,8922;0,164348;0,417058;0,101831
550;11,8615;0,168523;0,409735;0,105607
551;11,826;0,170108;0,4052;0,109848
552;11,7899;0,173482;0,395836;0,113128
553;11,753;0,179237;0,380043;0,115129
554;11,7145;0,184119;0,376897;0,117111
555;11,673;0,187406;0,396834;0,119061
556;11,6302;0,191186;0,409257;0,121064
557;11,5842;0,19621;0,402675;0,123201
558;11,5382;0,204257;0,399752;0,124927
559;11,4928;0,223199;0,410013;0,12517
560;11,4455;0,240529;0,417519;0,125546
561;11,3887;0,249113;0,410078;0,126643
562;11,3322;0,259824;0,404164;0,127674
563;11,2783;0,290017;0,412237;0,128099
564;11,2241;0,320389;0,419122;0,128515
565;11,1663;0,354486;0,401267;0,128756
566;11,1084;0,388584;0,383412;0,128996
567;11,0572;0,44037;0,402939;0,128751
568;11,006;0,492196;0,422552;0,128505
569;10,9434;0,55329;0,40192;0,128461
570;10,8802;0,61483;0,379354;0,128426
571;10,8346;0,687448;0,382964;0,127765
572;10,7907;0,761093;0,389001;0,127045
573;10,7498;0,86541;0,380719;0,126508
574;10,7094;0,973883;0,370498;0,125996
575;10,6762;1,1019;0,37074;0,125511
576;10,6442;1,23333;0,372818;0,12503
577;10,6235;1,39524;0,369805;0,124059
578;10,6052;1,56358;0,365716;0,122985
579;10,6013;1,75228;0,360431;0,121495
580;10,6008;1,94592;0,354856;0,119905
581;10,6163;2,17682;0,354675;0,118635
582;10,6362;2,41771;0,35594;0,117451
583;10,6728;2,72731;0,356633;0,117438
584;10,7141;3,0566;0,357162;0,117762
585;10,7876;3,42867;0,34824;0,11659
586;10,8707;3,81348;0,336503;0,114974
587;10,9819;4,28388;0,340171;0,114695
588;11,1015;4,78009;0,348486;0,114818
589;11,2701;5,35486;0,33733;0,11427
590;11,4534;5,95299;0,320385;0,113522
591;11,703;6,67131;0,320106;0,11293
592;11,9717;7,42393;0,324584;0,112384
593;12,3001;8,33363;0,319728;0,110773
594;12,6444;9,28514;0,312387;0,108879
595;13,0882;10,4248;0,303149;0,108133
596;13,5558;11,6098;0,293456;0,107662
597;14,1292;13,012;0,282705;0,106525
598;14,7247;14,4596;0,271735;0,105249
599;15,5018;16,1672;0,260964;0,104138
600;16,3101;17,9195;0,250228;0,103056
601;17,267;20,0287;0,24964;0,101875
602;18,2434;22,1848;0,250384;0,100681
603;19,4394;24,7197;0,255836;0,099863
604;20,6547;27,2878;0,2617;0,099078
605;22,0756;30,2883;0,247254;0,097332
606;23,5061;33,3089;0,231977;0,0955511
607;25,1486;36,7637;0,222518;0,0950098
608;26,7992;40,24;0,214323;0,0944391
609;28,5922;44,0919;0,228246;0,0933533
610;30,3884;47,9675;0,239731;0,0922447
611;32,2113;52,0384;0,231172;0,0909485
612;34,0028;56,0969;0,222316;0,0897108
613;35,6384;60,0932;0,211992;0,0887633
614;37,1743;63,9666;0,20362;0,0881098
615;38,3792;67,4319;0,201726;0,0884323
616;39,3715;70,5733;0,200182;0,0884102
617;39,8683;72,9597;0,199454;0,0875852
618;40,0353;74,7434;0,192267;0,0864878
619;39,6497;75,5172;0,174258;0,0849338
620;38,8421;75,4306;0,168642;0,083967
621;37,523;74,3013;0,178045;0,0837119
622;35,8053;72,155;0,17691;0,0832246
623;33,7415;69,1256;0,166625;0,0825356
624;31,403;65,2049;0,167882;0,0813171
625;28,8986;60,7454;0,176119;0,0797784
626;26,3267;55,7413;0,181892;0,0807354
627;23,7282;50,5212;0,186686;0,0826823
628;21,2801;45,2287;0,189495;0,0812672
629;18,8665;39,9197;0,191848;0,0790821
630;16,7919;35,082;0,182021;0,0792093
631;14,7585;30,3051;0,171076;0,0795481
632;13,1502;26,2635;0,159976;0,0798751
633;11,5891;22,3436;0,149606;0,0799922
634;10,329;19,1998;0,143876;0,0787721
635;9,14779;16,2431;0,143645;0,0777733
636;8,20021;13,8396;0,159675;0,077429
637;7,34709;11,6733;0,165858;0,0771201
638;6,65167;9,90303;0,155598;0,0768704
639;6,04354;8,38242;0,145841;0,0765794
640;5,52221;7,11009;0,136582;0,0762473
641;5,08508;6,05608;0,140701;0,0753928
642;4,69674;5,12861;0,152575;0,0742354
643;4,36087;4,37926;0,148911;0,0735286
644;4,0407;3,68322;0,140597;0,0729565
645;3,80961;3,19333;0,134916;0,0727508
646;3,5887;2,72985;0,129941;0,0724867
647;3,39227;2,36972;0,13233;0,0706786
648;3,20553;2,03262;0,130654;0,0691599
649;3,05552;1,7828;0,113573;0,0687385
650;2,91578;1,5552;0,0969539;0,067823
651;2,79388;1,36625;0,0811404;0,066048
